epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4575,1.39516,2.02185,1.36415,0.90274,0.77384,0.86094,0.48983,1.49688,1.37852,1.41604,0.000663462,0.000663462,0.000663462
2,159.012,1.39067,1.22985,1.37565,0.89479,0.71481,0.81853,0.44104,1.6389,1.28062,1.47307,0.00132652,0.00132652,0.00132652
3,234.545,1.34285,1.05045,1.35502,0.8549,0.71934,0.82224,0.43005,1.65048,1.32788,1.50652,0.0019752,0.0019752,0.0019752
4,311.363,1.34789,1.0273,1.36428,0.92384,0.81237,0.87051,0.46227,1.64642,1.11711,1.48008,0.00195155,0.00195155,0.00195155
5,385.205,1.30259,0.94593,1.33728,0.92805,0.84035,0.90635,0.46091,1.72481,0.94232,1.57091,0.00191441,0.00191441,0.00191441
6,461.263,1.29376,0.91076,1.334,0.94641,0.8451,0.90096,0.51436,1.46197,0.90592,1.36608,0.00186737,0.00186737,0.00186737
7,536.793,1.25467,0.85865,1.30543,0.9449,0.87745,0.93108,0.58927,1.34894,0.69315,1.29705,0.00181093,0.00181093,0.00181093
8,613.956,1.24,0.8396,1.29179,0.96294,0.86419,0.91978,0.54785,1.44767,0.7461,1.35888,0.00174571,0.00174571,0.00174571
9,688.521,1.21755,0.81149,1.2774,0.94996,0.85786,0.93071,0.58718,1.34975,0.71095,1.30517,0.00167244,0.00167244,0.00167244
10,763.496,1.21628,0.78867,1.2826,0.94959,0.88389,0.93571,0.59855,1.32426,0.67119,1.26575,0.00159191,0.00159191,0.00159191
11,839.249,1.2025,0.79972,1.2753,0.9401,0.87947,0.93404,0.60211,1.28126,0.67974,1.26765,0.001505,0.001505,0.001505
12,916.003,1.18673,0.77471,1.25654,0.95196,0.89366,0.93923,0.62289,1.26428,0.63093,1.23601,0.00141267,0.00141267,0.00141267
13,990.658,1.17397,0.74515,1.2556,0.95718,0.89629,0.94396,0.62263,1.2569,0.61783,1.23799,0.00131593,0.00131593,0.00131593
14,1067.72,1.17068,0.74102,1.24926,0.95369,0.90114,0.94634,0.63024,1.24363,0.6154,1.23097,0.00121583,0.00121583,0.00121583
15,1143.95,1.15958,0.71861,1.24441,0.97593,0.90387,0.95128,0.60718,1.33865,0.58583,1.2644,0.00111348,0.00111348,0.00111348
16,1246.98,1.14433,0.6996,1.23316,0.95872,0.90661,0.94969,0.63045,1.25967,0.58124,1.22879,0.00101,0.00101,0.00101
17,1326.72,1.12499,0.68362,1.22485,0.97546,0.88747,0.9447,0.63912,1.22518,0.60157,1.20972,0.000906517,0.000906517,0.000906517
18,1403.54,1.12177,0.67642,1.22374,0.97851,0.89886,0.95353,0.63945,1.23605,0.55941,1.2049,0.000804167,0.000804167,0.000804167
19,1478.52,1.10804,0.66329,1.22061,0.96924,0.90251,0.95208,0.64425,1.21414,0.54823,1.19739,0.000704073,0.000704073,0.000704073
20,1553.43,1.09955,0.64129,1.21027,0.97552,0.90934,0.9551,0.6384,1.2552,0.52868,1.21513,0.000607331,0.000607331,0.000607331
21,1660.08,1.02302,0.49092,1.17352,0.96861,0.91708,0.95535,0.65085,1.20896,0.53488,1.19359,0.000515,0.000515,0.000515
22,1731.98,1.00432,0.47119,1.16606,0.97959,0.91854,0.95794,0.65594,1.19651,0.51329,1.18288,0.000428093,0.000428093,0.000428093
23,1803.86,0.9922,0.46152,1.1563,0.97994,0.91264,0.95809,0.65553,1.19043,0.53259,1.18457,0.000347561,0.000347561,0.000347561
24,1875.45,0.98341,0.45178,1.15248,0.98051,0.91689,0.9614,0.66281,1.18267,0.50737,1.18572,0.000274287,0.000274287,0.000274287
25,1949.11,0.96874,0.44018,1.14245,0.97205,0.92802,0.96056,0.65985,1.1876,0.50214,1.17615,0.000209073,0.000209073,0.000209073
26,2022.75,0.95726,0.43407,1.13322,0.97456,0.92515,0.96308,0.66449,1.181,0.50163,1.1776,0.000152635,0.000152635,0.000152635
27,2096.47,0.95822,0.42916,1.13087,0.97188,0.92802,0.96173,0.66822,1.17225,0.50065,1.17058,0.00010559,0.00010559,0.00010559
28,2168.43,0.95047,0.42054,1.13129,0.97762,0.92665,0.96243,0.66741,1.1711,0.48692,1.16442,6.8454e-05,6.8454e-05,6.8454e-05
29,2240.22,0.94821,0.41732,1.13242,0.97698,0.92805,0.96317,0.67142,1.16429,0.48555,1.1628,4.16339e-05,4.16339e-05,4.16339e-05
30,2313.21,0.94739,0.41847,1.12831,0.97919,0.92756,0.96319,0.66861,1.16448,0.48756,1.16199,2.54233e-05,2.54233e-05,2.54233e-05
